id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
144,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
145,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,1,0,67
146,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
147,EDDA FERD,205022069,SHELL,78865936,GANNET A,-949074902,1,0,18
148,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
149,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,1,0,67
150,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
151,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
152,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
153,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
154,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,1,0,67
155,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
156,EDDA FERD,205022069,SHELL,78865936,GANNET A,-949074902,1,0,18
157,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
158,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
159,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,2,0,18
160,NORTH PROMISE,-1394967360,REPSOL,-1881188397,CAYLEY,1980908645,2,1,15
161,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
162,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
163,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
164,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
165,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
166,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
167,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
168,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
169,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
170,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
171,STRIL ODIN,-1180463258,REPSOL,-1881188397,SHAW,2543947,1,0,9
172,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
173,BRAGE TRADER,52434495,NEXEN,74177002,BUZZARD,965041792,2,0,47
174,BRAGE TRADER,52434495,REPSOL,-1881188397,SHAW,2543947,2,1,9
175,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
176,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
177,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
178,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
179,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
180,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
181,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
182,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
183,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,1,0,67
184,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
185,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
186,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
187,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
188,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,2,0,18
189,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET G,-949074896,2,0,17
190,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
191,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
192,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
193,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,1,0,18
194,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
195,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
196,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
197,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
198,STRIL ODIN,-1180463258,SHELL,78865936,EGRET,65919135,1,0,4
199,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
200,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
201,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
202,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
