id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
742,EDDA FRIGG,2061095641,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
743,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
744,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
745,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,5,0,41
746,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,WOOD,2670253,5,0,12
747,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,5,0,7
748,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARKWRIGHT,68113087,5,0,8
749,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,MONTROSE,463927351,5,0,13
750,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
751,STRIL ODIN,-1180463258,SHELL,78865936,EGRET,65919135,2,0,4
752,STRIL ODIN,-1180463258,SHELL,78865936,MERGANSER,115750726,2,0,2
753,STRIL ODIN,-1180463258,SHELL,78865936,EGRET,65919135,2,0,4
754,STRIL ODIN,-1180463258,SHELL,78865936,GANNET A,-949074902,2,0,18
755,NORTH POMOR,1880019350,SHELL,78865936,GANNET E,-949074898,1,0,21
756,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,2,0,21
757,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,2,0,20
758,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,2,0,20
759,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,2,0,1
760,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
761,EDDA FRIGG,2061095641,BP,2126,MADOES,-2028389875,3,0,66
762,EDDA FRIGG,2061095641,BP,2126,MONAN,73541657,3,0,64
763,EDDA FRIGG,2061095641,BP,2126,MARNOCK-SKUA (oil),-1834447383,3,0,5
764,EDDA FRIGG,2061095641,BP,2126,MADOES,-2028389875,2,0,66
765,EDDA FRIGG,2061095641,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
766,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (oil),-1834447383,1,0,5
767,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,1,0,47
768,NORTH     MARINER,657095701,NEXEN,74177002,BUZZARD,965041792,1,0,47
769,NORTH     MARINER,657095701,NEXEN,74177002,BUZZARD,965041792,2,0,47
770,NORTH     MARINER,657095701,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
771,SKANDI CAPTAIN,-537194322,NEXEN,74177002,GOLDEN EAGLE,1429227533,1,0,46
772,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,WOOD,2670253,1,0,12
773,GRAMPIAN SOVEREIGN,2079437583,REPSOL,-1881188397,WOOD,2670253,1,0,12
774,GRAMPIAN SOVEREIGN,2079437583,REPSOL,-1881188397,WOOD,2670253,2,0,12
775,GRAMPIAN SOVEREIGN,2079437583,REPSOL,-1881188397,BRECHIN,859081663,2,0,7
776,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,1,0,7
777,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARKWRIGHT,68113087,1,0,8
778,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARKWRIGHT,68113087,1,0,8
779,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,1,0,3
780,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
781,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,2,0,41
782,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,MONTROSE,463927351,2,0,13
783,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
784,SKANDI RONA,-1354178746,SHELL,78865936,EGRET,65919135,5,0,4
785,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,5,0,21
786,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,5,0,20
787,SKANDI RONA,-1354178746,SHELL,78865936,GANNET D,-949074899,5,0,16
788,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,5,0,18
789,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
790,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,2,0,65
791,EDDA FRIGG,2061095641,BP,2126,MONAN,73541657,1,0,64
792,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
793,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
794,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,5,0,41
795,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,SHAW,2543947,5,0,9
796,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,5,0,11
