id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
416,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET E,-949074898,3,0,21
417,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BRECHIN,859081663,3,1,7
418,BOURBON MONSOON,-376771394,NEXEN,74177002,BUZZARD,965041792,3,1,47
419,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,5,0,3
420,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,5,0,20
421,SKANDI RONA,-1354178746,REPSOL,-1881188397,BUCHAN,1970090533,5,1,41
422,SKANDI RONA,-1354178746,REPSOL,-1881188397,CAYLEY,1980908645,5,1,15
423,SKANDI RONA,-1354178746,BP,2126,MARNOCK-SKUA (cond),-1044193739,5,1,6
424,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET A,-949074902,2,0,18
425,VESTLAND CETUS,-1663906517,BP,2126,MIRREN,-2020581755,2,1,65
426,VESTLAND MIRA,-1715940720,TOTAL,80012068,ELGIN,66057637,4,0,67
427,VESTLAND MIRA,-1715940720,REPSOL,-1881188397,WOOD,2670253,4,1,12
428,VESTLAND MIRA,-1715940720,REPSOL,-1881188397,CARNOUSTIE,-2071798339,4,1,10
429,VESTLAND MIRA,-1715940720,NEXEN,74177002,ETTRICK,-701815836,4,1,45
430,VESTLAND MIRA,-1715940720,REPSOL,-1881188397,WOOD,2670253,1,0,12
431,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,2,0,14
432,BOURBON MONSOON,-376771394,NEXEN,74177002,BUZZARD,965041792,2,1,47
433,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,BUCHAN,1970090533,6,0,41
434,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,CAYLEY,1980908645,6,0,15
435,VESTLAND CETUS,-1663906517,NEXEN,74177002,BUZZARD,965041792,6,1,47
436,VESTLAND CETUS,-1663906517,NEXEN,74177002,GOLDEN EAGLE,1429227533,6,1,46
437,VESTLAND CETUS,-1663906517,NEXEN,74177002,ETTRICK,-701815836,6,1,45
438,VESTLAND CETUS,-1663906517,BP,2126,MARNOCK-SKUA (cond),-1044193739,6,1,6
439,SKANDI RONA,-1354178746,REPSOL,-1881188397,WOOD,2670253,1,0,12
440,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BRECHIN,859081663,5,0,7
441,BOURBON MONSOON,-376771394,REPSOL,-1881188397,ARBROATH,-952916089,5,0,11
442,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,5,0,14
443,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET E,-949074898,5,1,21
444,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET A,-949074902,5,1,18
445,SKANDI RONA,-1354178746,REPSOL,-1881188397,CARNOUSTIE,-2071798339,4,0,10
446,SKANDI RONA,-1354178746,BP,2126,MONAN,73541657,4,1,64
447,SKANDI RONA,-1354178746,BP,2126,MARNOCK-SKUA (oil),-1834447383,4,1,5
448,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,4,1,67
449,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,2,0,14
450,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET C,-949074900,2,1,20
451,VESTLAND CETUS,-1663906517,NEXEN,74177002,BUZZARD,965041792,3,0,47
452,VESTLAND CETUS,-1663906517,BP,2126,MIRREN,-2020581755,3,1,65
453,VESTLAND CETUS,-1663906517,SHELL,78865936,SCOTER (oil),-1442538815,3,1,1
454,VESTLAND CETUS,-1663906517,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
455,SKANDI RONA,-1354178746,BP,2126,MARNOCK-SKUA (cond),-1044193739,5,0,6
456,SKANDI RONA,-1354178746,BP,2126,MONAN,73541657,5,0,64
457,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,5,1,18
458,SKANDI RONA,-1354178746,REPSOL,-1881188397,BUCHAN,1970090533,5,1,41
459,SKANDI RONA,-1354178746,NEXEN,74177002,ETTRICK,-701815836,5,1,45
460,BOURBON MONSOON,-376771394,TOTAL,80012068,ELGIN,66057637,3,0,67
461,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BRECHIN,859081663,3,1,7
462,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,3,1,14
463,BOURBON MONSOON,-376771394,TOTAL,80012068,ELGIN,66057637,1,0,67
464,VESTLAND CETUS,-1663906517,BP,2126,MARNOCK-SKUA (cond),-1044193739,5,0,6
465,VESTLAND CETUS,-1663906517,SHELL,78865936,HERON,68630420,5,1,3
466,VESTLAND CETUS,-1663906517,SHELL,78865936,GANNET A,-949074902,5,1,18
467,VESTLAND CETUS,-1663906517,NEXEN,74177002,BUZZARD,965041792,5,1,47
468,VESTLAND CETUS,-1663906517,NEXEN,74177002,ETTRICK,-701815836,5,1,45
469,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,7,0,1
470,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,7,0,2
471,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,7,1,67
472,SKANDI RONA,-1354178746,ENQUEST,-876275271,MALLARD,1551718303,7,1,32
473,SKANDI RONA,-1354178746,REPSOL,-1881188397,WOOD,2670253,7,1,12
474,SKANDI RONA,-1354178746,REPSOL,-1881188397,ARBROATH,-952916089,7,1,11
475,SKANDI RONA,-1354178746,REPSOL,-1881188397,CARNOUSTIE,-2071798339,7,1,10
476,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,1,0,35
477,VESTLAND MIRA,-1715940720,ENQUEST,-876275271,KITTIWAKE,-28175409,1,0,35
478,VESTLAND MIRA,-1715940720,ENQUEST,-876275271,KITTIWAKE,-28175409,2,0,35
479,VESTLAND MIRA,-1715940720,NEXEN,74177002,BUZZARD,965041792,2,1,47
480,BRAGE SUPPLIER,210364477,ENQUEST,-876275271,KITTIWAKE,-28175409,2,0,35
481,BRAGE SUPPLIER,210364477,TOTAL,80012068,ELGIN,66057637,2,1,67
482,SKANDI CAPTAIN,-537194322,ENQUEST,-876275271,GADWALL,514602868,2,0,33
483,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,ARBROATH,-952916089,2,1,11
484,SKANDI RONA,-1354178746,ENQUEST,-876275271,MALLARD,1551718303,2,0,32
485,SKANDI RONA,-1354178746,REPSOL,-1881188397,CARNOUSTIE,-2071798339,2,1,10
486,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,BUCHAN,1970090533,3,0,41
487,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,BRECHIN,859081663,3,0,7
488,GRAMPIAN SCEPTRE,398550601,BP,2126,MARNOCK-SKUA (oil),-1834447383,3,1,5
489,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,SHAW,2543947,3,0,9
490,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,MONTROSE,463927351,3,0,13
491,VESTLAND CETUS,-1663906517,NEXEN,74177002,ETTRICK,-701815836,3,1,45
492,STRIL ODIN,-1180463258,REPSOL,-1881188397,WOOD,2670253,3,0,12
493,STRIL ODIN,-1180463258,BP,2126,MIRREN,-2020581755,3,1,65
494,STRIL ODIN,-1180463258,SHELL,78865936,GANNET E,-949074898,3,1,21
495,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,ARBROATH,-952916089,1,0,11
496,SKANDI RONA,-1354178746,REPSOL,-1881188397,CARNOUSTIE,-2071798339,2,0,10
497,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,2,1,20
498,SKANDI BUCHAN,-443528389,REPSOL,-1881188397,CAYLEY,1980908645,2,0,15
499,SKANDI BUCHAN,-443528389,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,1,6
500,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,1,0,14
501,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,3,0,14
502,BOURBON MONSOON,-376771394,NEXEN,74177002,GOLDEN EAGLE,1429227533,3,1,46
503,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,3,1,64
504,VESTLAND MIRA,-1715940720,NEXEN,74177002,BUZZARD,965041792,1,0,47
505,VESTLAND CETUS,-1663906517,NEXEN,74177002,ETTRICK,-701815836,1,0,45
506,VESTLAND CETUS,-1663906517,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
507,SKANDI BUCHAN,-443528389,BP,2126,MARNOCK-SKUA (cond),-1044193739,3,0,6
508,SKANDI BUCHAN,-443528389,SHELL,78865936,SCOTER (oil),-1442538815,3,1,1
509,SKANDI BUCHAN,-443528389,SHELL,78865936,MERGANSER,115750726,3,1,2
510,GRAMPIAN SCEPTRE,398550601,BP,2126,MARNOCK-SKUA (oil),-1834447383,1,0,5
511,STRIL ODIN,-1180463258,SHELL,78865936,GANNET E,-949074898,1,0,21
512,SKANDI BARRA,954942860,SHELL,78865936,GANNET G,-949074896,2,0,17
513,SKANDI BARRA,954942860,SHELL,78865936,GANNET A,-949074902,2,0,18
514,SKANDI BARRA,954942860,SHELL,78865936,GANNET A,-949074902,1,0,18
515,SKANDI BARRA,954942860,SHELL,78865936,GANNET A,-949074902,1,0,18
516,BRAGE SUPPLIER,210364477,TOTAL,80012068,ELGIN,66057637,1,0,67
517,BRAGE SUPPLIER,210364477,TOTAL,80012068,ELGIN,66057637,1,0,67
518,VESTLAND MIRA,-1715940720,NEXEN,74177002,GOLDEN EAGLE,1429227533,1,0,46
519,BRAGE SUPPLIER,210364477,NEXEN,74177002,ETTRICK,-701815836,2,0,45
520,BRAGE SUPPLIER,210364477,BP,2126,MARNOCK-SKUA (oil),-1834447383,2,1,5
521,EDDA FERD,205022069,BP,2126,MADOES,-2028389875,2,0,66
522,EDDA FERD,205022069,REPSOL,-1881188397,CARNOUSTIE,-2071798339,2,1,10
523,GRAMPIAN SCEPTRE,398550601,BP,2126,MIRREN,-2020581755,1,0,65
524,STRIL ODIN,-1180463258,BP,2126,MIRREN,-2020581755,2,0,65
525,STRIL ODIN,-1180463258,SHELL,78865936,MERGANSER,115750726,2,1,2
526,STRIL ODIN,-1180463258,BP,2126,MIRREN,-2020581755,3,0,65
527,STRIL ODIN,-1180463258,SHELL,78865936,HERON,68630420,3,1,3
528,STRIL ODIN,-1180463258,ENQUEST,-876275271,GADWALL,514602868,3,1,33
529,BRAGE SUPPLIER,210364477,BP,2126,MARNOCK-SKUA (oil),-1834447383,1,0,5
530,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (oil),-1834447383,1,0,5
531,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (oil),-1834447383,3,0,5
532,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BUCHAN,1970090533,3,1,41
533,BOURBON MONSOON,-376771394,NEXEN,74177002,BUZZARD,965041792,3,1,47
534,SKANDI BARRA,954942860,SHELL,78865936,GANNET E,-949074898,2,0,21
535,SKANDI BARRA,954942860,SHELL,78865936,GANNET C,-949074900,2,0,20
536,SKANDI BARRA,954942860,SHELL,78865936,GANNET C,-949074900,2,0,20
537,SKANDI BARRA,954942860,REPSOL,-1881188397,WOOD,2670253,2,1,12
538,SKANDI BARRA,954942860,SHELL,78865936,GANNET C,-949074900,1,0,20
539,EDDA FERD,205022069,SHELL,78865936,SCOTER (oil),-1442538815,3,0,1
540,EDDA FERD,205022069,ENQUEST,-876275271,KITTIWAKE,-28175409,3,1,35
541,EDDA FERD,205022069,REPSOL,-1881188397,CARNOUSTIE,-2071798339,3,1,10
542,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,1,0,17
543,VESTLAND MIRA,-1715940720,SHELL,78865936,GANNET G,-949074896,1,0,17
544,SKANDI BUCHAN,-443528389,SHELL,78865936,GANNET A,-949074902,2,0,18
